Subject,Start Date,Start Time,End Date,End Time
N,11/01/2021,07:00 PM,11/02/2021,07:00 AM
N,11/02/2021,07:00 PM,11/03/2021,07:00 AM
R,11/05/2021,07:00 AM,11/05/2021,07:00 PM
R,11/06/2021,07:00 AM,11/06/2021,07:00 PM
R,11/07/2021,07:00 AM,11/07/2021,07:00 PM
N,11/10/2021,07:00 PM,11/11/2021,07:00 AM
N,11/11/2021,07:00 PM,11/12/2021,07:00 AM
Z,11/15/2021,07:00 AM,11/15/2021,07:00 PM
Z,11/16/2021,07:00 AM,11/16/2021,07:00 PM
Z,11/19/2021,07:00 AM,11/19/2021,07:00 PM
R,11/22/2021,07:00 AM,11/22/2021,07:00 PM
R,11/23/2021,07:00 AM,11/23/2021,07:00 PM
N,11/26/2021,07:00 PM,11/27/2021,07:00 AM
N,11/27/2021,07:00 PM,11/28/2021,07:00 AM
N,11/28/2021,07:00 PM,11/29/2021,07:00 AM
R,12/01/2021,07:00 AM,12/01/2021,07:00 PM
R,12/02/2021,07:00 AM,12/02/2021,07:00 PM
N,12/06/2021,07:00 PM,12/07/2021,07:00 AM
N,12/07/2021,07:00 PM,12/08/2021,07:00 AM
R,12/10/2021,07:00 AM,12/10/2021,07:00 PM
R,12/11/2021,07:00 AM,12/11/2021,07:00 PM
R,12/12/2021,07:00 AM,12/12/2021,07:00 PM
N,12/15/2021,07:00 PM,12/16/2021,07:00 AM
N,12/16/2021,07:00 PM,12/17/2021,07:00 AM
Z,12/21/2021,07:00 AM,12/21/2021,07:00 PM
Z,12/22/2021,07:00 AM,12/22/2021,07:00 PM
Z,12/23/2021,07:00 AM,12/23/2021,07:00 PM
R,12/27/2021,07:00 AM,12/27/2021,07:00 PM
R,12/28/2021,07:00 AM,12/28/2021,07:00 PM
N,12/31/2021,07:00 PM,01/01/2022,07:00 AM
